x,y,gridcoords
770000.000000000000000,5959000.000000000000000,770000-5959000
770000.000000000000000,5959500.000000000000000,770000-5959500
770000.000000000000000,5960000.000000000000000,770000-5960000
770000.000000000000000,5960500.000000000000000,770000-5960500
770000.000000000000000,5961000.000000000000000,770000-5961000
770000.000000000000000,5961500.000000000000000,770000-5961500
770000.000000000000000,5962000.000000000000000,770000-5962000
770000.000000000000000,5962500.000000000000000,770000-5962500
770000.000000000000000,5963000.000000000000000,770000-5963000
770000.000000000000000,5963500.000000000000000,770000-5963500
770000.000000000000000,5964000.000000000000000,770000-5964000
770000.000000000000000,5964500.000000000000000,770000-5964500
770000.000000000000000,5965000.000000000000000,770000-5965000
770000.000000000000000,5966500.000000000000000,770000-5966500
770000.000000000000000,5970500.000000000000000,770000-5970500
770500.000000000000000,5964500.000000000000000,770500-5964500
770500.000000000000000,5947000.000000000000000,770500-5947000
770500.000000000000000,5947500.000000000000000,770500-5947500
770500.000000000000000,5948000.000000000000000,770500-5948000
770500.000000000000000,5948500.000000000000000,770500-5948500
770500.000000000000000,5949000.000000000000000,770500-5949000
770500.000000000000000,5956000.000000000000000,770500-5956000
770500.000000000000000,5958000.000000000000000,770500-5958000
770500.000000000000000,5959000.000000000000000,770500-5959000
770500.000000000000000,5959500.000000000000000,770500-5959500
770500.000000000000000,5960000.000000000000000,770500-5960000
770500.000000000000000,5960500.000000000000000,770500-5960500
770500.000000000000000,5961000.000000000000000,770500-5961000
770500.000000000000000,5961500.000000000000000,770500-5961500
770500.000000000000000,5962000.000000000000000,770500-5962000
770500.000000000000000,5962500.000000000000000,770500-5962500
770500.000000000000000,5963000.000000000000000,770500-5963000
770500.000000000000000,5963500.000000000000000,770500-5963500
770500.000000000000000,5964000.000000000000000,770500-5964000
770500.000000000000000,5964500.000000000000000,770500-5964500
770500.000000000000000,5965000.000000000000000,770500-5965000
770500.000000000000000,5966000.000000000000000,770500-5966000
770500.000000000000000,5966500.000000000000000,770500-5966500
770500.000000000000000,5970000.000000000000000,770500-5970000
